mac_fill,age_score,flood_pressure
2.3,0.0,0.208
2.3,0.0,0.21
2.3,0.0,0.212
2.3,0.0,0.215
2.3,0.0,0.217
2.3,0.0,0.22
2.3,0.0,0.218
2.3,0.0,0.221
2.3,0.0,0.223
2.3,0.0,0.225
2.3,0.0,0.228
2.3,0.0,0.23
2.3,0.0,0.232
2.3,0.0,0.235
2.3,0.0,0.237
2.3,0.0,0.213
2.3,0.0,0.215
2.3,0.0,0.218
2.3,0.0,0.22
2.3,0.0,0.223
2.3,0.0,0.225
2.3,0.0,0.228
2.3,0.0,0.23
2.3,0.0,0.233
2.3,0.0,0.235
2.3,0.0,0.238
2.3,0.0,0.24
2.3,0.0,0.243
2.3,0.0,0.245
2.3,0.0,0.248
2.3,0.0,0.25
2.3,0.0,0.253
2.4,0.042,0.244
2.4,0.0,0.247
2.4,0.0,0.249
2.4,0.0,0.249
2.4,0.0,0.251
2.4,0.0,0.254
2.4,0.0,0.256
2.4,0.0,0.262
2.4,0.0,0.264
2.4,0.0,0.267
2.4,0.0,0.27
2.4,0.0,0.273
2.4,0.0,0.275
2.4,0.0,0.277
2.4,0.0,0.279
2.4,0.0,0.282
2.4,0.0,0.284
2.4,0.0,0.287
2.4,0.0,0.289
2.4,0.0,0.292
2.4,0.0,0.294
2.4,0.0,0.297
2.4,0.0,0.299
2.4,0.0,0.299
2.4,0.0,0.301
2.4,0.0,0.304
2.4,0.0,0.306
2.4,0.0,0.308
2.4,0.0,0.311
2.4,0.0,0.313
2.4,0.0,0.316
2.4,0.0,0.318
2.4,0.0,0.32
2.4,0.0,0.287
2.4,0.0,0.29
2.4,0.0,0.292
2.4,0.0,0.294
2.4,0.0,0.297
2.4,0.0,0.298
2.4,0.0,0.3
2.4,0.0,0.302
2.4,0.0,0.305
2.4,0.0,0.307
2.4,0.0,0.297
2.4,0.0,0.299
2.4,0.0,0.302
2.4,0.0,0.304
2.4,0.0,0.306
2.4,0.0,0.308
2.4,0.0,0.31
2.4,0.0,0.313
2.4,0.0,0.315
2.4,0.0,0.317
